"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272"
"22199","Courtland St & 18th St",40.023816,-75.154491,NULL,NULL,1,1,"0101000020E6100000AF21382EE3C952C08E8F16670C034440","0101000020E0080000AF21382EE3C952C08E8F16670C034440"
"22201","Courtland St & 19th St ",40.024052,-75.156074,NULL,NULL,1,1,"0101000020E61000006170CD1DFDC952C0A2B3CC2214034440","0101000020E00800006170CD1DFDC952C0A2B3CC2214034440"
"22202","Windrum Av & 20th St - MBNS",40.023841,-75.157836,NULL,NULL,1,1,"0101000020E61000006A882AFC19CA52C0E7A6CD380D034440","0101000020E00800006A882AFC19CA52C0E7A6CD380D034440"
"22203","Windrum Av & Germantown Av ",40.022916,-75.158998,NULL,NULL,1,1,"0101000020E61000004888F2052DCA52C00F4757E9EE024440","0101000020E00800004888F2052DCA52C00F4757E9EE024440"
"22206","Belmont Av & Monument Rd - 1 MBNS",39.997576,-75.21898,NULL,NULL,1,1,"0101000020E6100000999EB0C403CE52C023A30392B0FF4340","0101000020E0080000999EB0C403CE52C023A30392B0FF4340"
"22207","Belmont Av & Conshohocken Av",39.999987,-75.219635,NULL,NULL,1,1,"0101000020E6100000A583F57F0ECE52C06BB6F292FFFF4340","0101000020E0080000A583F57F0ECE52C06BB6F292FFFF4340"
"22208","Belmont Av & Monument Rd",39.995469,-75.218431,NULL,NULL,1,1,"0101000020E6100000AF5B04C6FACD52C0469737876BFF4340","0101000020E0080000AF5B04C6FACD52C0469737876BFF4340"
"22211","Parkside Av & Wynnefield Av",39.990439,-75.220383,NULL,NULL,1,1,"0101000020E61000000A664CC11ACE52C06BD784B4C6FE4340","0101000020E00800000A664CC11ACE52C06BD784B4C6FE4340"
"22212","Wynnefield Av & Monument Rd",39.990887,-75.221906,NULL,NULL,1,1,"0101000020E6100000513239B533CE52C00A849D62D5FE4340","0101000020E0080000513239B533CE52C00A849D62D5FE4340"
"22213","Wynnefield Av & 50th St",39.991499,-75.224752,NULL,NULL,1,1,"0101000020E61000007A6D365662CE52C023827170E9FE4340","0101000020E00800007A6D365662CE52C023827170E9FE4340"
"22214","Wynnefield Av & Bryn Mawr Av",39.991582,-75.226453,NULL,NULL,1,1,"0101000020E61000003145B9347ECE52C0B1A6B228ECFE4340","0101000020E00800003145B9347ECE52C0B1A6B228ECFE4340"
"22215","Wynnefield Av & 52nd St",39.991748,-75.22969,NULL,NULL,1,1,"0101000020E6100000F88DAF3DB3CE52C0CCEF3499F1FE4340","0101000020E0080000F88DAF3DB3CE52C0CCEF3499F1FE4340"
"22216","Wynnefield Av & 54th St",39.991941,-75.233553,NULL,NULL,1,1,"0101000020E61000007E384888F2CE52C0E04735ECF7FE4340","0101000020E00800007E384888F2CE52C0E04735ECF7FE4340"
"22217","54th St & Montgomery Av",39.984155,-75.231365,NULL,NULL,1,1,"0101000020E6100000191C25AFCECE52C0F29881CAF8FD4340","0101000020E0080000191C25AFCECE52C0F29881CAF8FD4340"
"22218","Jefferson St & 52nd St",39.979443,-75.225507,NULL,NULL,1,1,"0101000020E61000003881E9B46ECE52C0E8A562635EFD4340","0101000020E00800003881E9B46ECE52C0E8A562635EFD4340"
"22219","Parkside Av & 42nd St",39.976238,-75.209439,NULL,NULL,1,1,"0101000020E610000072E0D57267CD52C0658EE55DF5FC4340","0101000020E008000072E0D57267CD52C0658EE55DF5FC4340"
"22220","Parkside Av & 41st St",39.975341,-75.207008,NULL,NULL,1,1,"0101000020E6100000AA807B9E3FCD52C056B950F9D7FC4340","0101000020E0080000AA807B9E3FCD52C056B950F9D7FC4340"
"22221","40th St & Poplar St",39.972739,-75.204134,NULL,NULL,1,1,"0101000020E61000001B800D8810CD52C0994528B682FC4340","0101000020E00800001B800D8810CD52C0994528B682FC4340"
"22223","40th St & Ogden St",39.969543,-75.203542,NULL,NULL,1,1,"0101000020E6100000325706D506CD52C06A882AFC19FC4340","0101000020E0080000325706D506CD52C06A882AFC19FC4340"
"22224","40th St & Parrish St",39.968507,-75.203332,NULL,NULL,1,1,"0101000020E6100000BD8E386403CD52C03A799109F8FB4340","0101000020E0080000BD8E386403CD52C03A799109F8FB4340"
"22225","40th St & Brown St",39.967481,-75.203146,NULL,NULL,1,1,"0101000020E61000000C94145800CD52C02D40DB6AD6FB4340","0101000020E00800000C94145800CD52C02D40DB6AD6FB4340"
"22226","40th St & Aspen St",39.966365,-75.202937,NULL,NULL,1,1,"0101000020E61000007F8978EBFCCC52C0E17F2BD9B1FB4340","0101000020E00800007F8978EBFCCC52C0E17F2BD9B1FB4340"
"22227","40th St & Fairmount Av",39.965257,-75.202728,NULL,NULL,1,1,"0101000020E6100000F17EDC7EF9CC52C0179E978A8DFB4340","0101000020E0080000F17EDC7EF9CC52C0179E978A8DFB4340"
"22228","40th St & Lancaster Av",39.96332,-75.20238,NULL,NULL,1,1,"0101000020E610000054573ECBF3CC52C097CADB114EFB4340","0101000020E008000054573ECBF3CC52C097CADB114EFB4340"
"22230","40th St & Locust St",39.953075,-75.202885,NULL,NULL,1,1,"0101000020E610000055F65D11FCCC52C04ED1915CFEF94340","0101000020E008000055F65D11FCCC52C04ED1915CFEF94340"
"22232","Spruce St & 36th St",39.950714,-75.195465,NULL,NULL,1,1,"0101000020E6100000CFA0A17F82CC52C0B7EC10FFB0F94340","0101000020E0080000CFA0A17F82CC52C0B7EC10FFB0F94340"
"22233","Spruce St & 34th St",39.950415,-75.192785,NULL,NULL,1,1,"0101000020E6100000338AE59656CC52C05D50DF32A7F94340","0101000020E0080000338AE59656CC52C05D50DF32A7F94340"
"22234","23rd St & Walnut St",39.951199,-75.178517,NULL,NULL,1,1,"0101000020E6100000EC3191D26CCB52C0747E8AE3C0F94340","0101000020E0080000EC3191D26CCB52C0747E8AE3C0F94340"
"22235","23rd St & Locust St",39.950057,-75.178781,NULL,NULL,1,1,"0101000020E61000005B09DD2571CB52C0FE2AC0779BF94340","0101000020E00800005B09DD2571CB52C0FE2AC0779BF94340"
"22236","23rd St & Pine St",39.947399,-75.179357,NULL,NULL,1,1,"0101000020E6100000C153C8957ACB52C0ADA1D45E44F94340","0101000020E0080000C153C8957ACB52C0ADA1D45E44F94340"
"22237","23rd St & Lombard St",39.946525,-75.179549,NULL,NULL,1,1,"0101000020E6100000E3C116BB7DCB52C057EC2FBB27F94340","0101000020E0080000E3C116BB7DCB52C057EC2FBB27F94340"
"22238","23rd St & South St",39.945508,-75.179777,NULL,NULL,1,1,"0101000020E6100000ACE4637781CB52C09D0DF96706F94340","0101000020E0080000ACE4637781CB52C09D0DF96706F94340"
"22239","South St & 21st St",39.94502,-75.177063,NULL,NULL,1,1,"0101000020E61000003A950C0055CB52C07008556AF6F84340","0101000020E00800003A950C0055CB52C07008556AF6F84340"
"22240","South St & 20th St",39.944784,-75.175127,NULL,NULL,1,1,"0101000020E61000006269E04735CB52C05CE49EAEEEF84340","0101000020E00800006269E04735CB52C05CE49EAEEEF84340"
"22241","South St & 19th St",39.944585,-75.173569,NULL,NULL,1,1,"0101000020E61000005DA626C11BCB52C065A54929E8F84340","0101000020E00800005DA626C11BCB52C065A54929E8F84340"
"22242","South St & 18th St",39.944385,-75.172012,NULL,NULL,1,1,"0101000020E610000040A19E3E02CB52C09EEA909BE1F84340","0101000020E008000040A19E3E02CB52C09EEA909BE1F84340"
"22243","South St & 17th St",39.944186,-75.170418,NULL,NULL,1,1,"0101000020E61000009529E620E8CA52C0A8AB3B16DBF84340","0101000020E00800009529E620E8CA52C0A8AB3B16DBF84340"
"22244","South St & 16th St",39.944004,-75.16886,NULL,NULL,1,1,"0101000020E610000090662C9ACECA52C087A5811FD5F84340","0101000020E008000090662C9ACECA52C087A5811FD5F84340"
"22245","South St & 15th St",39.943804,-75.167291,NULL,NULL,1,1,"0101000020E6100000927A4FE5B4CA52C0C0EAC891CEF84340","0101000020E0080000927A4FE5B4CA52C0C0EAC891CEF84340"
"22246","South St & 13th St",39.943341,-75.163443,NULL,NULL,1,1,"0101000020E6100000A6F0A0D975CA52C0EBFCDB65BFF84340","0101000020E0080000A6F0A0D975CA52C0EBFCDB65BFF84340"
"22247","South St & 12th St",39.943141,-75.161862,NULL,NULL,1,1,"0101000020E6100000C51D6FF25BCA52C0244223D8B8F84340","0101000020E0080000C51D6FF25BCA52C0244223D8B8F84340"
"22248","South St & 11th St",39.942942,-75.160304,NULL,NULL,1,1,"0101000020E6100000C05AB56B42CA52C02E03CE52B2F84340","0101000020E0080000C05AB56B42CA52C02E03CE52B2F84340"
"22249","South St & 10th St",39.942751,-75.158722,NULL,NULL,1,1,"0101000020E6100000F7C9518028CA52C0BAA29410ACF84340","0101000020E0080000F7C9518028CA52C0BAA29410ACF84340"
"22250","South St & 9th St",39.942551,-75.157153,NULL,NULL,1,1,"0101000020E6100000F8DD74CB0ECA52C0F3E7DB82A5F84340","0101000020E0080000F8DD74CB0ECA52C0F3E7DB82A5F84340"
