"dist_name","stop_id","stop_name","stop_lat","stop_lon","the_geom"
"Upper North","11122","Ogontz Av & Andrews Av",40.061277,-75.151036,"0101000020E61000003221E692AAC952C09D7FBBECD7074440"
"Upper North","11127","Ogontz Av & Church Ln",40.046452,-75.150821,"0101000020E610000033A31F0DA7C952C0BA6A9E23F2054440"
"Upper North","11128","Ogontz Av & Godfrey Av",40.048567,-75.150896,"0101000020E61000003946B247A8C952C01955867137064440"
"Upper North","11132","Ogontz Av & Limekiln Pk - FS",40.048242,-75.150797,"0101000020E61000006FD575A8A6C952C096253ACB2C064440"
"Upper North","11133","Ogontz Av & Medary Av",40.049967,-75.150441,"0101000020E610000090BE49D3A0C952C08B70935165064440"
"Upper North","11134","Ogontz Av & Middletown St",40.062323,-75.151919,"0101000020E61000000729780AB9C952C0F1643733FA074440"
"Upper North","11135","Ogontz Av & Roselyn St",40.045754,-75.150292,"0101000020E61000006D3656629EC952C0A2D45E44DB054440"
"Upper North","11137","Ogontz Av & Tulpehocken St",40.065088,-75.155054,"0101000020E61000004CC79C67ECC952C058AEB7CD54084440"
"Upper North","11138","Ogontz Av & Washington Ln",40.068867,-75.156932,"0101000020E610000089EC832C0BCA52C0066344A2D0084440"
"Upper North","11217","Old York Rd & Champlost Av",40.044483,-75.144515,"0101000020E610000003B2D7BB3FC952C02E1D739EB1054440"
"Upper North","11623","Park Av & Chew Av",40.039812,-75.143446,"0101000020E61000007DAF21382EC952C082FE428F18054440"
"Upper North","11624","Park Av & Grange St",40.041356,-75.14312,"0101000020E6100000D3D9C9E028C952C027BF45274B054440"
"Upper North","14888","Ogontz Av & Walnut Ln",40.064326,-75.153673,"0101000020E6100000CE5147C7D5C952C0292499D53B084440"
"Upper North","14889","Champlost Av & 17th St",40.044973,-75.148226,"0101000020E6100000AE9AE7887CC952C0FC19DEACC1054440"
"Upper North","14890","Ogontz Av & Church Ln",40.04629,-75.15055,"0101000020E61000006B9A779CA2C952C0E010AAD4EC054440"
"Upper North","14895","Ogontz Av & 65th Av",40.053018,-75.149873,"0101000020E61000006B63EC8497C952C0B70C384BC9064440"
"Upper North","14899","Ogontz Av & Tulpehocken St",40.06507,-75.154806,"0101000020E61000005FCE6C57E8C952C0B1F9B83654084440"
"Upper North","14900","Ogontz Av & Washington Ln",40.068572,-75.156697,"0101000020E61000006798DA5207CA52C0EEB5A0F7C6084440"
"Upper North","14901","Ogontz Av & 77th Av",40.070707,-75.157315,"0101000020E6100000E50AEF7211CA52C0944C4EED0C094440"
"Upper North","14902","Ogontz Av & 78th Av",40.071511,-75.157573,"0101000020E6100000E36E10AD15CA52C0F226BF4527094440"
"Upper North","14903","Ogontz Av & 79th Av",40.072315,-75.157794,"0101000020E61000005260014C19CA52C05001309E41094440"
"Upper North","15422","Cheltenham Av & 79th Av",40.072802,-75.156042,"0101000020E61000005BB39597FCC952C0AD8A709351094440"
"Upper North","15424","Roumfort Rd & Cheltenham Av - FS",40.083552,-75.174977,"0101000020E61000005723BBD232CB52C0F8C1F9D4B10A4440"
"Upper North","15428","Roumfort Rd & Pickering Av",40.082465,-75.176022,"0101000020E61000001958C7F143CB52C046088F368E0A4440"
"Upper North","15431","Roumfort Rd & Michener Av",40.081022,-75.17747,"0101000020E61000005A8121AB5BCB52C0D520CCED5E0A4440"
"Upper North","15432","Michener Av & Gowen Av",40.079814,-75.175747,"0101000020E6100000B05758703FCB52C0A8E15B58370A4440"
"Upper North","15447","Nedro Av & Ogontz Av ",40.043709,-75.149602,"0101000020E6100000A35A441493C952C03BC5AA4198054440"
"Upper North","15450","Broad St & Spencer St",40.045649,-75.143174,"0101000020E6100000CDE847C329C952C02C0C91D3D7054440"
"Upper North","15451","Michener Av & Mt Airy Av",40.078076,-75.172725,"0101000020E6100000E78C28ED0DCB52C01F4DF564FE094440"
"Upper North","15453","Michener Av & Mt Pleasant Av",40.076759,-75.170459,"0101000020E6100000C493DDCCE8CA52C03B56293DD3094440"
"Upper North","15454","Broad St & Chelten Av ",40.050493,-75.142126,"0101000020E6100000537AA69718C952C0A6D6FB8D76064440"
"Upper North","15455","Broad St & 65th Av",40.051965,-75.141777,"0101000020E6100000CD94D6DF12C952C0B1C403CAA6064440"
"Upper North","15456","Mt Pleasant Av & Williams Av",40.075236,-75.171836,"0101000020E6100000A1116C5CFFCA52C0ADBD4F55A1094440"
"Upper North","15457","Thouron Av & Mt Pleasant Av - FS",40.073703,-75.172989,"0101000020E61000005664744012CB52C0FD4E93196F094440"
"Upper North","15458","Nedro Av & 17 th St",40.043573,-75.148551,"0101000020E610000070B20DDC81C952C08BFED0CC93054440"
